,Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Prod_Deliv_Ratio,CO2_per_unit,Deliveries_per_station,YearMonth,Lag_Deliveries,Rolling_3m_Deliveries,Delivery_Growth_Rate,Price_per_kWh
672,2018,3,North America,Cybertruck,1627,1708,77620.06,82,472,115.19,Estimated (Region),4936,1.0497848801475107,0.06744145199063231,0.3296191247974068,2018-3,13984.0,10708.0,-0.8836527459954233,946.5860975609755
673,2017,9,Europe,Model X,7844,7883,111543.0,75,421,495.35,Official (Quarter),9688,1.0049719530851606,0.06283775212482558,0.8096614368290669,2017-9,8432.0,8054.0,-0.06973434535104361,1487.24
674,2024,9,North America,Model S,10739,12336,118825.12,75,436,702.33,Estimated (Region),8314,1.148710308222367,0.056933365758754864,1.2916766899206158,2024-9,1627.0,8783.333333333334,5.600491702519975,1584.3349333333333
675,2024,3,Asia,Model S,9135,9417,117887.45,100,551,755.01,Estimated (Region),12429,1.0308702791461413,0.08017521503663587,0.7349746560463433,2024-3,9544.0,11777.666666666666,-0.04285414920368813,1178.8745
676,2021,2,Europe,Model Y,16194,17499,108854.96,60,331,804.03,Official (Quarter),7401,1.080585402000741,0.04594719698268472,2.1880826915281717,2021-2,7844.0,10823.333333333334,1.0645079041305459,1814.2493333333334
677,2019,7,North America,Model S,10429,10716,57395.52,82,484,757.15,Official (Quarter),9945,1.02751941701026,0.07065602836879432,1.048667672197084,2019-7,10739.0,7598.333333333333,-0.028866747369401202,699.9453658536585
678,2025,10,North America,Model S,834,903,67041.78,75,414,51.79,Estimated (Region),14270,1.0827338129496402,0.05735326688815061,0.058444288717589346,2025-10,10429.0,7334.0,-0.9200306836705341,893.8904
679,2019,11,Asia,Model S,12742,13960,106127.81,120,687,1313.06,Interpolated (Month),7339,1.095589389420813,0.09405873925501432,1.7362038424853523,2019-11,9135.0,10473.666666666666,0.39485495347564314,884.3984166666667
680,2019,1,Middle East,Model 3,16394,17095,94153.93,120,687,1689.4,Estimated (Region),8784,1.04275954617543,0.09882421760748758,1.8663479052823315,2019-1,7244.0,11284.333333333334,1.263114301490889,784.6160833333332
681,2020,9,Middle East,Model X,7019,8016,79635.06,75,412,433.77,Estimated (Region),8308,1.14204302607209,0.05411302395209581,0.8448483389504092,2020-9,16394.0,10219.0,-0.571855556911065,1061.8008
682,2015,10,Asia,Model X,9719,10041,119136.76,82,489,712.89,Interpolated (Month),3473,1.033130980553555,0.07099790857484314,2.798445148286784,2015-10,12742.0,10532.0,-0.23724690001569615,1452.8873170731706
683,2015,9,Asia,Cybertruck,10844,12086,59807.92,60,356,579.07,Interpolated (Month),8849,1.114533382515677,0.04791246069832865,1.2254492032998079,2015-9,9719.0,11101.666666666666,0.11575264944953179,996.7986666666667
684,2020,9,North America,Cybertruck,13042,14469,78765.3,75,436,852.95,Estimated (Region),11391,1.109415733783162,0.05895016932752782,1.144938986919498,2020-9,834.0,8101.666666666667,14.6378896882494,1050.204
685,2019,5,Middle East,Model Y,10628,11626,55269.51,120,666,1061.74,Estimated (Region),3591,1.0939028980052692,0.0913246172372269,2.959621275410749,2019-5,7019.0,11347.0,0.5141758085197321,460.57925
686,2021,10,North America,Model X,14290,16239,51262.24,120,693,1485.45,Official (Quarter),12448,1.1363890832750174,0.09147422870866433,1.1479755784061696,2021-10,13042.0,9388.666666666666,0.09569084496242897,427.1853333333333
687,2025,8,North America,Model X,5547,5600,73125.04,120,673,559.97,Estimated (Region),13667,1.0095547142599604,0.09999464285714287,0.40586814955732786,2025-8,14290.0,10959.666666666666,-0.6118264520643807,609.3753333333333
688,2019,4,Asia,Model Y,2017,2031,77040.14,100,567,171.55,Estimated (Region),6787,1.0069410014873574,0.084465780403742,0.2971857963754236,2019-4,10844.0,7526.666666666667,-0.8139985245296939,770.4014
689,2017,10,Europe,Model Y,5477,6185,112026.54,120,671,551.26,Estimated (Region),11849,1.1292678473616944,0.0891285367825384,0.46223309983964894,2017-10,16194.0,9838.333333333334,-0.6617883166604915,933.5545
690,2015,7,Europe,Model Y,12003,13676,88973.4,120,694,1249.51,Estimated (Region),6359,1.1393818212113638,0.09136516525299795,1.8875609372542852,2015-7,5477.0,11224.666666666666,1.1915282088734709,741.4449999999999
691,2016,6,North America,Model S,8538,8629,50847.59,60,358,458.49,Estimated (Region),11850,1.0106582337784025,0.05313361919109978,0.7205063291139241,2016-6,5547.0,9458.333333333334,0.5392103839913467,847.4598333333332
692,2022,10,Asia,Model X,15871,17003,87563.63,120,706,1680.74,Interpolated (Month),10935,1.0713250582824019,0.09884961477386343,1.4513946044810242,2022-10,2017.0,9577.333333333334,6.8686167575607335,729.6969166666667
693,2019,1,Europe,Model S,16562,17052,106362.21,60,335,832.24,Official (Quarter),4019,1.029585798816568,0.048806005160684965,4.1209256033839265,2019-1,12003.0,11347.333333333334,0.3798217112388569,1772.7035
694,2019,8,Middle East,Model X,7950,8493,86261.07,75,412,491.31,Interpolated (Month),8072,1.0683018867924527,0.05784881667255387,0.9848860257680873,2019-8,10628.0,8532.333333333334,-0.25197591268347763,1150.1476
695,2016,4,Europe,Model X,5161,5521,54209.96,100,578,447.46,Official (Quarter),14491,1.0697539236582059,0.08104691179134214,0.3561520944034228,2016-4,16562.0,11242.0,-0.6883830455259027,542.0996
696,2017,8,Middle East,Model X,6555,7430,102498.45,75,446,438.53,Estimated (Region),12104,1.13348588863463,0.05902153432032301,0.5415565102445472,2017-8,7950.0,8377.666666666666,-0.1754716981132075,1366.646
697,2016,8,North America,Model Y,13536,15492,89211.77,100,596,1210.12,Interpolated (Month),3627,1.1445035460992907,0.0781125742318616,3.732009925558313,2016-8,8538.0,9207.0,0.5853829936753339,892.1177
698,2020,12,North America,Model S,385,400,92280.35,100,593,34.25,Interpolated (Month),14986,1.0389610389610389,0.085625,0.025690644601628187,2020-12,13536.0,7486.333333333333,-0.9715573286052009,922.8035000000001
699,2025,9,Middle East,Cybertruck,7166,7176,66599.21,75,421,452.53,Official (Quarter),8064,1.0013954786491768,0.06306159420289854,0.888640873015873,2025-9,6555.0,7223.666666666667,0.09321128909229603,887.9894666666668
700,2022,2,Europe,Model 3,10944,11395,55575.16,60,342,561.43,Estimated (Region),9651,1.0412097953216375,0.049269855199648965,1.1339757538078956,2022-2,5161.0,10889.0,1.1205192792094554,926.2526666666668
701,2015,9,Middle East,Model X,3159,3625,86798.31,82,458,217.02,Interpolated (Month),6267,1.1475150364039253,0.059867586206896556,0.5040689325035902,2015-9,7166.0,5626.666666666667,-0.5591682947250907,1058.515975609756
702,2016,10,Europe,Model 3,10280,10378,108196.15,100,579,892.82,Estimated (Region),4379,1.009533073929961,0.08603006359606861,2.347567937885362,2016-10,10944.0,8795.0,-0.06067251461988299,1081.9615
703,2025,7,Asia,Model S,8354,8972,70719.48,100,566,709.25,Interpolated (Month),14531,1.0739765381853004,0.0790514935354436,0.5749088156355379,2025-7,15871.0,8747.333333333334,-0.4736311511561968,707.1948
704,2023,2,Europe,Cybertruck,6820,7637,90643.38,100,588,601.52,Estimated (Region),6992,1.1197947214076247,0.0787639125310986,0.9754004576659039,2023-2,10280.0,9348.0,-0.33657587548638135,906.4338
705,2018,10,North America,Model S,5201,5401,102648.0,120,690,538.3,Interpolated (Month),6850,1.038454143433955,0.09966672838363265,0.7592700729927008,2018-10,385.0,6374.0,12.50909090909091,855.4
706,2020,4,Asia,Model S,11089,11641,102110.95,75,418,695.28,Interpolated (Month),4563,1.0497790603300567,0.05972682759213126,2.4301994301994303,2020-4,8354.0,11771.333333333334,0.32738807756763233,1361.4793333333332
707,2015,10,North America,Cybertruck,6202,6819,115578.08,60,351,326.54,Estimated (Region),5579,1.099484037407288,0.047886786918903065,1.111668757841907,2015-10,5201.0,3929.3333333333335,0.19246298788694483,1926.3013333333333
708,2025,6,Asia,Model S,11262,12586,112804.29,100,571,964.59,Estimated (Region),5808,1.117563487835198,0.07663991736850469,1.9390495867768596,2025-6,11089.0,10235.0,0.015601046081702652,1128.0429
709,2023,12,North America,Model S,8896,9145,104131.28,75,430,573.79,Estimated (Region),7213,1.027990107913669,0.06274357572443957,1.2333287120476917,2023-12,6202.0,6766.333333333333,0.43437600773943896,1388.4170666666666
710,2022,8,Europe,Model Y,1388,1438,77895.14,60,330,68.71,Interpolated (Month),12269,1.0360230547550433,0.047781641168289285,0.11313065449506887,2022-8,6820.0,6162.666666666667,-0.7964809384164223,1298.2523333333334
711,2025,12,Middle East,Model S,9394,10078,82633.32,120,699,984.96,Interpolated (Month),4241,1.0728124334681712,0.09773367731692796,2.215043621787314,2025-12,3159.0,6573.0,1.9737258626147516,688.6110000000001
712,2022,2,North America,Model X,13191,13201,89537.34,82,464,918.09,Interpolated (Month),6872,1.0007580926389206,0.06954700401484737,1.9195285215366706,2022-2,8896.0,9429.666666666666,0.4828012589928057,1091.9187804878047
713,2018,11,Asia,Model S,7542,7881,94995.65,60,348,393.69,Interpolated (Month),11352,1.0449482895783613,0.0499543205177008,0.6643763213530656,2018-11,11262.0,9964.333333333334,-0.33031433137986144,1583.2608333333333
714,2019,2,Middle East,Model Y,6476,7157,78751.21,75,431,418.67,Estimated (Region),3088,1.1051575046324893,0.058497974011457315,2.0971502590673574,2019-2,9394.0,6343.0,-0.3106238024270811,1050.0161333333335
715,2023,6,Europe,Model Y,9414,10245,59743.15,60,330,465.99,Estimated (Region),5943,1.088272785213512,0.04548462664714495,1.5840484603735487,2023-6,1388.0,5874.0,5.782420749279539,995.7191666666666
716,2017,1,Europe,Cybertruck,6240,6540,83350.59,120,673,629.93,Interpolated (Month),10685,1.0480769230769231,0.09631957186544342,0.5839962564342537,2017-1,9414.0,5680.666666666667,-0.337157425111536,694.58825
717,2018,10,Europe,Model Y,11109,11914,119082.72,82,481,801.51,Interpolated (Month),5983,1.0724637681159421,0.06727463488333053,1.8567608223299348,2018-10,6240.0,8921.0,0.7802884615384615,1452.2282926829268
718,2021,1,Asia,Model X,10798,11052,98343.59,120,690,1117.59,Official (Quarter),10807,1.0235228746064087,0.10112106406080347,0.9991672064402702,2021-1,7542.0,9867.333333333334,0.4317157252718111,819.5299166666666
719,2019,5,Asia,Model Y,12863,13082,95073.56,82,485,935.78,Interpolated (Month),9928,1.0170255772370365,0.07153187585996025,1.2956285253827557,2019-5,10798.0,10401.0,0.19123911835525087,1159.4336585365854
720,2024,12,Europe,Model 3,5881,6734,106798.53,120,666,587.51,Estimated (Region),4461,1.1450433599727938,0.08724532224532225,1.318314279309572,2024-12,11109.0,7743.333333333333,-0.47060941578899995,889.98775
721,2025,7,Middle East,Model S,17474,19836,68258.46,120,712,1866.22,Interpolated (Month),10730,1.1351722559230857,0.09408247630570679,1.6285181733457597,2025-7,6476.0,11114.666666666666,1.6982705373687463,568.8205
722,2024,8,Middle East,Cybertruck,7408,8406,90693.75,100,567,630.05,Estimated (Region),5791,1.134719222462203,0.0749524149417083,1.279226385771024,2024-8,17474.0,10452.666666666666,-0.5760558544122696,906.9375
723,2025,1,North America,Model S,5949,6096,64285.11,120,701,625.54,Estimated (Region),14004,1.0247100353000504,0.10261482939632545,0.42480719794344474,2025-1,13191.0,9345.333333333334,-0.5490106891062088,535.70925
724,2024,4,Asia,Model S,6656,6776,110526.14,75,431,430.31,Estimated (Region),9865,1.0180288461538463,0.06350501770956317,0.6747085656360872,2024-4,12863.0,10105.666666666666,-0.4825468397729923,1473.6818666666666
725,2015,6,Middle East,Model Y,22315,22673,81318.87,82,472,1579.9,Interpolated (Month),5909,1.0160430203898723,0.06968200061747454,3.7764427145033,2015-6,7408.0,15732.333333333334,2.012284017278618,991.6935365853658
726,2022,6,Europe,Model Y,13128,13872,50781.2345,120,660,1299.67,Estimated (Region),8526,1.056672760511883,0.09369016724336794,1.5397607318789586,2022-6,5881.0,10039.333333333334,1.232273422887264,423.17695416666663
727,2016,3,North America,Model 3,15502,16256,75652.31,100,569,1323.1,Estimated (Region),11345,1.0486388853051218,0.08139148622047243,1.3664169237549582,2016-3,5949.0,11547.333333333334,1.6058161035468146,756.5231
728,2024,8,Asia,Model X,13506,13585,119158.79,82,478,968.38,Estimated (Region),11173,1.0058492521842144,0.07128303275671696,1.2088069453145978,2024-8,6656.0,11008.333333333334,1.0291466346153846,1453.155975609756
729,2018,4,Europe,Model X,21473,24427,78461.34,60,334,1075.8,Interpolated (Month),11576,1.13756810878778,0.04404142956564457,1.8549585348997926,2018-4,13128.0,13494.0,0.6356642291285801,1307.6889999999999
730,2025,1,Middle East,Model S,9133,10371,113498.22,60,350,479.48,Official (Quarter),14114,1.135552392423081,0.0462327644393019,0.6470879977327476,2025-1,22315.0,12952.0,-0.590723728433789,1891.637
731,2025,4,Europe,Model Y,12364,13649,110733.32,82,466,864.24,Official (Quarter),3518,1.1039307667421547,0.06331892446333065,3.5144968732234223,2025-4,21473.0,15655.0,-0.42420714385507385,1350.4063414634147
732,2018,4,Asia,Model S,6475,7117,94359.81,120,695,675.02,Official (Quarter),3194,1.0991505791505791,0.09484614303779682,2.027238572323106,2018-4,13506.0,8879.0,-0.5205834443950836,786.3317499999999
733,2024,7,Middle East,Cybertruck,11767,12485,68338.29,82,491,866.64,Estimated (Region),12566,1.0610181014702134,0.06941449739687625,0.9364157249721471,2024-7,9133.0,14405.0,0.2884046863024199,833.3937804878047
734,2021,2,Europe,Model X,11811,13576,102555.32,82,477,845.08,Interpolated (Month),7263,1.1494369655405978,0.06224808485562758,1.6261875258157785,2021-2,12364.0,15216.0,-0.04472662568747976,1250.6746341463415
735,2022,10,Europe,Model Y,15676,17413,93764.81,75,449,1055.78,Estimated (Region),9403,1.110806328144935,0.060631711939355654,1.6671275124960119,2022-10,11811.0,13283.666666666666,0.3272373211413089,1250.1974666666667
736,2016,7,Europe,Model 3,18246,20097,106349.23,75,422,1154.97,Estimated (Region),12900,1.1014468924695824,0.05746977160770264,1.4144186046511629,2016-7,15676.0,15244.333333333334,0.1639448838989539,1417.9897333333333
737,2021,4,Europe,Cybertruck,11441,11747,55571.17,60,358,614.38,Interpolated (Month),6127,1.026745913818722,0.05230101302460203,1.867308633915456,2021-4,18246.0,15121.0,-0.3729584566480324,926.1861666666666
738,2017,4,Middle East,Model S,5656,5846,96413.3,120,704,597.27,Estimated (Region),13181,1.0335926449787836,0.10216729387615463,0.4291024960169942,2017-4,11767.0,8852.0,-0.519333729922665,803.4441666666667
739,2020,10,Europe,Cybertruck,11466,11648,84494.69,60,334,574.45,Official (Quarter),14739,1.0158730158730158,0.0493174793956044,0.7779360879299817,2020-10,11441.0,13717.666666666666,0.002185123678000167,1408.2448333333334
740,2022,9,North America,Cybertruck,1726,1857,51678.28,82,463,119.87,Interpolated (Month),12838,1.0758980301274623,0.06455035002692515,0.13444461754167317,2022-9,15502.0,7725.666666666667,-0.8886595278028642,630.2229268292683
741,2020,12,Europe,Model X,1598,1741,106523.46,60,333,79.82,Official (Quarter),7767,1.0894868585732165,0.045847214244686955,0.20574224282219647,2020-12,11466.0,8168.333333333333,-0.8606314320600035,1775.391
742,2021,6,Middle East,Model Y,3973,4376,70270.79,100,578,344.46,Estimated (Region),3790,1.101434684117795,0.07871572212065812,1.0482849604221636,2021-6,5656.0,7132.0,-0.2975601131541725,702.7078999999999
743,2015,11,North America,Model Y,15813,16654,70106.73,100,564,1337.78,Interpolated (Month),5803,1.0531840890406627,0.08032784916536567,2.7249698431845597,2015-11,1726.0,11013.666666666666,8.161645422943222,701.0672999999999
744,2019,5,Middle East,Model X,12584,13581,82708.27,60,333,628.57,Interpolated (Month),10794,1.079227590591227,0.04628304248582579,1.1658328701130258,2019-5,3973.0,7404.333333333333,2.167379813742764,1378.4711666666667
745,2022,11,North America,Model S,4638,5271,62220.88,60,338,235.15,Interpolated (Month),9202,1.1364812419146184,0.044612028078163536,0.5040208650293414,2022-11,15813.0,7392.333333333333,-0.7066970214380572,1037.0146666666667
746,2015,7,North America,Model S,7413,7546,112336.91,82,475,528.18,Official (Quarter),11149,1.0179414542020775,0.06999469917837264,0.6649026818548749,2015-7,4638.0,9288.0,0.5983182406209573,1369.9623170731709
747,2016,3,North America,Model Y,1386,1511,96774.9,100,580,120.58,Estimated (Region),8561,1.0901875901875901,0.07980145598941099,0.16189697465249386,2016-3,7413.0,4479.0,-0.8130311614730878,967.7489999999999
748,2017,5,Middle East,Model S,11634,12912,78316.92,60,332,579.37,Official (Quarter),12405,1.109850438370294,0.04487066294919455,0.9378476420798065,2017-5,12584.0,9397.0,-0.07549268912905271,1305.282
749,2021,1,Asia,Model S,6231,7073,77803.08,60,337,314.98,Interpolated (Month),8380,1.1351307976247793,0.04453273010038174,0.7435560859188545,2021-1,6475.0,8737.333333333334,-0.03768339768339768,1296.718
750,2022,1,Asia,Model X,12858,14363,102880.61,120,696,1342.38,Official (Quarter),10521,1.117047752372064,0.09346097611919515,1.2221271742229827,2022-1,6231.0,8521.333333333334,1.063553201733269,857.3384166666667
751,2021,7,Middle East,Model Y,16161,16229,107997.12,75,442,1071.47,Official (Quarter),6108,1.0042076604170533,0.06602193604042148,2.645874263261297,2021-7,11634.0,13459.666666666666,0.38911810211449205,1439.9615999999999
752,2016,2,Middle East,Model S,11459,11511,115166.41,120,701,1204.91,Official (Quarter),11118,1.0045379177938738,0.10467465902180524,1.0306709839899262,2016-2,16161.0,13084.666666666666,-0.2909473423674278,959.7200833333334
753,2023,3,Asia,Model 3,13511,14683,98246.08,60,333,674.87,Interpolated (Month),12853,1.086744134409,0.045962677926854184,1.0511942737104178,2023-3,12858.0,10866.666666666666,0.05078550318867636,1637.4346666666668
754,2016,1,Middle East,Model 3,14314,16247,79520.46,100,563,1208.82,Interpolated (Month),10108,1.1350426156210702,0.07440265895242199,1.4161060546102098,2016-1,11459.0,13978.0,0.24914914041364855,795.2046
755,2016,7,North America,Model S,9463,10543,52471.79,75,440,624.56,Official (Quarter),5429,1.1141287118250027,0.05923930570046476,1.7430466015840855,2016-7,1386.0,6087.333333333333,5.827561327561328,699.6238666666667
756,2019,3,Asia,Model S,6614,6653,51529.27,120,706,700.42,Interpolated (Month),4613,1.0058965830057454,0.1052788215842477,1.433774116626924,2019-3,13511.0,10994.333333333334,-0.5104729479683221,429.4105833333333
757,2025,1,Asia,Model 3,15910,17075,68122.21,82,481,1147.91,Official (Quarter),11659,1.0732243871778755,0.06722752562225476,1.364611030105498,2025-1,6614.0,12011.666666666666,1.405503477472029,830.7586585365855
758,2022,1,North America,Cybertruck,17648,18986,107197.15,75,444,1175.36,Interpolated (Month),10387,1.0758159564823209,0.06190666807121036,1.6990468855299894,2022-1,9463.0,9499.0,0.8649476910070801,1429.2953333333332
759,2017,8,Europe,Cybertruck,10232,11717,54659.53,60,349,535.65,Interpolated (Month),3889,1.1451329163408914,0.04571562686694546,2.631010542555927,2017-8,1598.0,7765.333333333333,5.4030037546933665,910.9921666666667
760,2020,11,Europe,Model X,8939,9066,118310.96,100,564,756.24,Estimated (Region),8085,1.0142074057500838,0.08341495698213104,1.1056277056277057,2020-11,10232.0,6923.0,-0.12636825645035188,1183.1096
761,2022,3,North America,Model 3,6634,7029,89992.4,60,358,356.25,Estimated (Region),9200,1.0595417545975279,0.050682885189927446,0.7210869565217392,2022-3,17648.0,11248.333333333334,-0.6240933816863101,1499.8733333333332
762,2019,1,Asia,Model S,4532,4860,80040.46,120,664,451.39,Estimated (Region),4273,1.0723742277140336,0.09287860082304526,1.0606131523519775,2019-1,15910.0,9018.666666666666,-0.7151477058453803,667.0038333333334
763,2016,3,Europe,Model 3,15537,17431,100268.62,100,597,1391.34,Interpolated (Month),3218,1.1219025551908348,0.07981986116688658,4.828154133001864,2016-3,8939.0,11569.333333333334,0.7381138829846738,1002.6862
764,2019,4,Europe,Cybertruck,10842,12009,76043.05,120,665,1081.49,Estimated (Region),8494,1.1076369673491975,0.09005662419851777,1.2764304214739817,2019-4,15537.0,11772.666666666666,-0.30218188839544313,633.6920833333334
765,2018,8,Europe,Model X,15325,15719,86265.42,82,459,1055.13,Interpolated (Month),6399,1.0257096247960849,0.06712449901393219,2.394905453977184,2018-8,10842.0,13901.333333333334,0.41348459693783446,1052.0173170731707
766,2023,3,Asia,Model Y,9545,10805,112142.75,82,490,701.56,Estimated (Region),13412,1.1320062860136197,0.06492919944470152,0.711676110945422,2023-3,4532.0,9995.666666666666,1.1061341571050307,1367.594512195122
767,2025,6,North America,Cybertruck,8313,8403,89817.31,75,433,539.93,Interpolated (Month),13199,1.0108264164561531,0.06425443294061645,0.6298204409424957,2025-6,6634.0,10865.0,0.2530901416943021,1197.5641333333333
768,2016,10,North America,Model Y,8787,9766,53370.0,120,714,941.09,Official (Quarter),13227,1.1114145897348355,0.09636391562563998,0.6643229757314584,2016-10,8313.0,7911.333333333333,0.057019126669072495,444.75
769,2023,5,Middle East,Model X,6438,6827,64542.45,100,582,562.04,Interpolated (Month),13454,1.0604224914569742,0.08232605829793467,0.47851939943511224,2023-5,14314.0,10737.0,-0.5502305435238228,645.4245
770,2022,4,Europe,Model X,7427,7905,78551.94,75,416,463.44,Estimated (Region),11113,1.0643597684125488,0.05862618595825427,0.6683163862143435,2022-4,15325.0,11198.0,-0.5153670473083197,1047.3592
771,2023,1,Middle East,Model S,7039,7539,77416.66,60,357,376.94,Interpolated (Month),4507,1.0710328171615286,0.04999867356413317,1.561792766807189,2023-1,6438.0,9263.666666666666,0.09335197266231754,1290.2776666666666
772,2015,9,North America,Model X,7705,7747,83044.69,82,474,547.83,Official (Quarter),3788,1.0054510058403634,0.07071511552859172,2.0340549102428724,2015-9,8787.0,8268.333333333334,-0.12313645157619213,1012.7401219512195
773,2015,4,Europe,Model S,10522,11561,61405.41,82,453,714.97,Estimated (Region),10709,1.0987454856491161,0.06184326615344694,0.9825380521057054,2015-4,7427.0,11091.333333333334,0.4167227682779049,748.8464634146342
774,2022,8,Middle East,Model S,11018,11192,96536.54,100,564,932.12,Official (Quarter),5387,1.0157923398075877,0.08328448892065761,2.0452942268423984,2022-8,7039.0,8165.0,0.5652791589714448,965.3653999999999
775,2021,11,Middle East,Model 3,10128,11258,85225.34,120,664,1008.75,Official (Quarter),11682,1.1115718799368088,0.08960294901403447,0.866974833076528,2021-11,11018.0,9395.0,-0.0807769105100744,710.2111666666666
776,2018,2,North America,Model X,3942,4239,101204.05,120,717,423.96,Official (Quarter),5645,1.0753424657534247,0.1000141542816702,0.6983170947741364,2018-2,7705.0,6811.333333333333,-0.4883841661258923,843.3670833333333
777,2020,7,Middle East,Cybertruck,20003,22003,69900.18,60,347,1041.16,Interpolated (Month),10041,1.0999850022496624,0.04731900195427897,1.9921322577432528,2020-7,10128.0,13716.333333333334,0.975019747235387,1165.003
778,2023,9,Asia,Model 3,13194,14916,75161.15,82,488,965.8,Official (Quarter),11383,1.1305138699408823,0.06474926253687316,1.1590968988843011,2023-9,9545.0,9090.333333333334,0.382294394971189,916.5993902439023
779,2015,12,Asia,Model S,5915,5988,97634.95,82,477,423.22,Official (Quarter),6279,1.012341504649197,0.07067802271209085,0.9420289855072463,2015-12,13194.0,9551.333333333334,-0.551690162194937,1190.6701219512195
780,2022,4,Middle East,Model 3,5781,6585,81786.76,120,704,610.47,Estimated (Region),7406,1.139076284379865,0.09270615034168565,0.7805833108290575,2022-4,20003.0,11970.666666666666,-0.7109933509973504,681.5563333333333
781,2023,1,Europe,Cybertruck,9902,10828,82222.5,60,331,491.63,Estimated (Region),3173,1.0935164613209452,0.04540358330254895,3.1207059565080364,2023-1,10522.0,9283.666666666666,-0.058924158905151125,1370.375
782,2020,7,North America,Model 3,15597,17814,83261.96,75,424,991.97,Estimated (Region),12195,1.1421427197537988,0.05568485460873471,1.2789667896678967,2020-7,3942.0,9081.333333333334,2.9566210045662102,1110.1594666666667
783,2021,7,North America,Model Y,477,539,63480.71,82,455,32.56,Official (Quarter),13773,1.129979035639413,0.060408163265306125,0.034632977564800695,2021-7,15597.0,6672.0,-0.9694171956145412,774.155
784,2025,6,North America,Model Y,15994,16261,63100.15,60,345,827.69,Estimated (Region),13189,1.01669376016006,0.05090031363384786,1.212677231025855,2025-6,477.0,10689.333333333334,32.530398322851156,1051.6691666666668
785,2018,9,Europe,Cybertruck,13280,14227,109436.86,60,341,679.27,Official (Quarter),5019,1.0713102409638555,0.04774513249455261,2.6459454074516837,2018-9,9902.0,11234.666666666666,0.341143203393254,1823.9476666666667
786,2020,3,Middle East,Model S,10855,11166,105335.95,75,429,698.52,Estimated (Region),6619,1.028650391524643,0.06255776464266523,1.6399758271642242,2020-3,5781.0,12213.0,0.8777028195813874,1404.4793333333332
787,2020,10,Asia,Model Y,13412,14022,75380.82,75,414,832.89,Official (Quarter),14872,1.0454816582165225,0.05939880188275567,0.9018289402904788,2020-10,5915.0,10840.333333333334,1.2674556213017754,1005.0776000000001
788,2016,7,Asia,Cybertruck,10563,11036,115847.55,120,675,1069.5,Estimated (Region),8155,1.0447789453753669,0.09691011235955056,1.2952789699570815,2016-7,13412.0,9963.333333333334,-0.2124217118997912,965.39625
789,2023,8,Middle East,Model S,14551,16389,66100.03,100,550,1200.46,Interpolated (Month),10815,1.126314342656862,0.07324791018365977,1.345446139620897,2023-8,10855.0,10395.666666666666,0.3404882542607093,661.0003
790,2025,8,Europe,Model Y,11152,11731,104207.9,75,422,705.92,Estimated (Region),6943,1.0519189383070302,0.060175603102889774,1.6062220941955927,2025-8,13280.0,11444.666666666666,-0.16024096385542164,1389.4386666666667
791,2020,10,North America,Model X,11801,12368,88663.66,60,331,585.92,Interpolated (Month),3526,1.048046775696975,0.047373868046571795,3.346851956891662,2020-10,15994.0,9424.0,-0.26216081030386396,1477.7276666666667
792,2016,3,Middle East,Model X,7228,7951,56687.47,120,697,755.69,Interpolated (Month),8421,1.100027670171555,0.0950433907684568,0.8583303645647785,2016-3,14551.0,10878.0,-0.5032643804549515,472.3955833333333
793,2017,6,Middle East,Model Y,10303,10612,93174.85,100,587,907.18,Official (Quarter),11855,1.0299912646801903,0.08548624199019977,0.8690847743568114,2017-6,7228.0,10694.0,0.42542888765910347,931.7485
794,2021,11,Asia,Model 3,9950,10746,60068.41,75,412,614.91,Estimated (Region),12697,1.08,0.057222222222222216,0.7836496810270143,2021-11,10563.0,11308.333333333334,-0.05803275584587708,800.9121333333334
795,2018,2,Asia,Model 3,12334,14166,51803.87,82,475,878.8,Interpolated (Month),10914,1.1485325117561214,0.06203586051108287,1.1301081180135606,2018-2,9950.0,10949.0,0.23959798994974868,631.754512195122
796,2015,5,Middle East,Cybertruck,7602,8738,88880.22,120,706,805.05,Official (Quarter),14337,1.1494343593791108,0.0921320668345159,0.530236451140406,2015-5,10303.0,8377.666666666666,-0.26215665340192174,740.6685
797,2021,6,Asia,Model S,5451,5887,107666.12,60,333,272.28,Interpolated (Month),14316,1.0799853237937993,0.046251061661287576,0.38076278290025145,2021-6,12334.0,9245.0,-0.5580509161666937,1794.4353333333333
798,2020,7,Asia,Cybertruck,12018,12650,76376.74,100,576,1038.36,Estimated (Region),3002,1.052587784989183,0.08208379446640315,4.003331112591606,2020-7,5451.0,9934.333333333334,1.2047330764997248,763.7674000000001
799,2018,1,Middle East,Model 3,8629,9169,58145.09,120,696,900.87,Official (Quarter),14261,1.0625796731950399,0.09825171774457411,0.6050767828343033,2018-1,7602.0,8844.666666666666,0.13509602736122073,484.5424166666666
800,2019,5,Asia,Model S,7384,7641,84440.12,100,565,625.79,Official (Quarter),5181,1.0348049837486457,0.08189896610391309,1.4252074889017565,2019-5,12018.0,8284.333333333334,-0.3855882842403062,844.4011999999999
